orderid,price,ordertype,note,guestid,date
493,698,delivery,luhbc  sjjk ih,346,2024-11-06
494,28,delivery,lxamz  xzts rp,386,2024-08-14
495,616,onsite,cjhgj  gbiy ly,187,2023-12-22
496,1000,onsite,ycvty  qqad fm,60,2023-01-31
497,570,onsite,mqfhj  yzon ug,326,2023-11-05
498,413,delivery,cbzwr  mfer vh,210,2024-06-07
499,695,delivery,edjid  ulni ub,174,2023-05-20
500,348,onsite,zwckt  kdvk nj,436,2024-01-28
501,361,onsite,nltri  bnqx hl,44,2024-07-06
502,248,delivery,eucta  ohfa lw,365,2023-01-19
503,223,onsite,rkojk  xqsb vm,225,2023-07-17
504,973,delivery,ldwem  jovz jf,303,2023-04-23
505,345,delivery,kysks  cnbg bm,162,2024-11-19
506,436,delivery,ozpkd  xxwh ls,285,2023-01-15
507,413,delivery,oayjo  giyb ak,14,2024-10-05
508,171,delivery,iphdz  bliv sq,436,2024-01-31
509,267,onsite,hyspi  zscr bx,499,2024-07-14
510,648,delivery,zafqt  pude sh,399,2024-10-12
511,653,onsite,shpmz  fjqr el,301,2023-12-20
512,281,onsite,nobtb  fwam xh,479,2024-09-18
513,235,onsite,eezbn  ocun dn,418,2024-08-20
514,43,delivery,epbdz  gnnx mp,494,2022-12-22
515,532,onsite,afrtl  guzz gp,299,2024-10-15
516,66,delivery,fifup  icuf im,125,2023-06-14
517,5,onsite,bxpoe  fket rd,272,2023-07-01
518,240,delivery,wkzba  jfqu pk,149,2023-05-12
519,853,delivery,qxucv  swuy lk,342,2024-08-29
520,239,onsite,ufper  fdib dc,173,2023-12-27
521,78,onsite,swqsa  zaxn yi,476,2024-02-15
522,523,onsite,ocwmx  hxqr st,36,2023-09-01
523,747,onsite,slyyx  mhct hc,19,2024-10-12
524,764,delivery,udywx  lxxi pc,20,2023-09-02
525,73,delivery,oqigd  ivog tv,389,2024-09-05
526,828,delivery,tflnn  tkud cb,484,2024-05-11
527,737,onsite,nmhmj  ryus vc,374,2024-04-01
528,773,onsite,llmpl  oieg si,202,2023-07-18
529,667,delivery,oemzs  gmxm gm,429,2024-08-03
530,65,delivery,knxeh  cicx ql,121,2023-06-01
531,876,onsite,inptm  onwl ks,245,2024-05-01
532,378,onsite,rolrw  lqgu yb,247,2024-03-19
533,66,onsite,kcozh  zavv bt,318,2023-12-12
534,664,delivery,mcnmq  fftj ap,259,2024-05-02
535,695,delivery,lawdj  icht sv,464,2023-03-21
536,397,onsite,snzyk  itic qn,498,2023-04-19
537,643,delivery,mbvve  zugp ub,169,2024-01-28
538,894,delivery,wytyb  rnpa xv,83,2024-11-19
539,361,delivery,grftx  xqdg ru,106,2023-06-26
540,96,onsite,jpiwl  ddkk mp,315,2023-07-22
541,657,delivery,rgagf  maae ay,418,2024-08-28
542,462,delivery,yuokc  srbo hr,350,2023-06-18
543,927,onsite,gswin  jltj om,97,2023-05-14
544,283,onsite,pychy  zoco qr,471,2024-03-13
545,389,onsite,oqmkk  zckv gv,126,2023-05-02
546,404,delivery,hpsxo  zaph wn,383,2023-12-09
547,628,onsite,liwxq  lobh qm,198,2024-10-05
548,623,delivery,rnpex  oerw yo,77,2023-11-19
549,59,delivery,uyqht  phtj we,44,2023-01-14
550,41,onsite,kyjnh  dioy yd,337,2024-03-02
551,397,delivery,nhkch  qpgo wb,101,2024-08-23
552,499,onsite,szend  dhgl ft,200,2023-09-22
553,628,onsite,dpwjs  qnxk gi,67,2024-01-31
554,262,delivery,tncid  ncmo tg,420,2023-07-12
555,269,onsite,oboky  tmtl dw,265,2024-08-31
556,754,delivery,boycm  gsrw ue,108,2023-11-10
557,736,delivery,ugkps  zklo jm,333,2023-04-21
558,686,delivery,yryzc  ykvc ni,395,2024-11-25
559,314,onsite,ejrqk  hqyj pu,98,2024-11-29
560,882,onsite,pvaiz  fzmb xf,439,2024-09-18
561,360,delivery,uhxsp  mxlf xn,71,2023-12-22
562,353,onsite,gmoiy  lixl zc,160,2024-07-12
563,962,delivery,zxbej  eify cu,354,2023-05-31
564,885,onsite,kowxy  oslb jd,441,2023-01-20
565,821,onsite,tulll  pcph ei,437,2024-09-26
566,777,delivery,lqdbs  kvxn uc,174,2024-06-09
567,814,onsite,papyd  oldt tz,334,2023-02-01
568,114,delivery,avrqc  iehk ng,28,2023-10-14
569,106,onsite,ctxuw  zgcy sc,269,2023-11-13
570,400,onsite,xkaxm  eakd kx,250,2023-11-04
571,87,onsite,bfwhm  ylez cg,388,2024-05-17
572,614,onsite,mzfdq  zcxu sm,215,2023-10-14
573,150,onsite,xagqx  ddhh vd,198,2024-09-29
574,579,onsite,nfoiq  kofz rr,407,2023-08-02
575,617,delivery,xgxld  lksz wk,171,2022-12-10
576,671,onsite,dibtf  jxtw yn,30,2024-08-08
577,172,delivery,dczka  tupo bm,424,2024-11-20
578,670,delivery,kalid  jazl qg,295,2023-01-20
579,325,onsite,xeevt  ouqh fu,307,2024-02-28
580,745,delivery,yilnc  pylv sd,272,2023-04-12
581,413,onsite,ccwwu  oxfg ac,106,2024-07-05
582,851,onsite,lwicz  sthe pp,45,2023-08-12
583,782,delivery,uzhsa  unvs jo,341,2023-01-03
584,144,delivery,mrmcd  tyqs ax,263,2024-11-02
585,422,delivery,edjxy  gbwj ed,459,2023-07-15
586,600,onsite,nkzgl  ibok ur,438,2023-11-23
587,423,onsite,fnydk  juvx cy,408,2023-10-28
588,462,delivery,felqp  jgad dn,256,2024-03-28
589,242,onsite,mvfng  akpj af,500,2024-06-22
590,725,onsite,irmfk  xvqx yv,87,2024-05-21
591,507,delivery,ojcnu  bdfy pr,491,2023-08-08
592,604,delivery,vcuwv  atpv xu,261,2024-02-20
593,437,delivery,hgqki  npyq fd,262,2024-09-03
594,171,onsite,fyxgx  xgix oc,360,2024-02-17
595,582,delivery,vlsol  ujau dz,221,2023-05-15
596,563,onsite,gdgyv  qgig lq,254,2023-02-07
597,897,onsite,qizrr  jtal ik,74,2023-03-27
598,532,delivery,xefob  yngd ih,291,2023-05-19
599,282,delivery,edsia  extj ag,134,2024-10-11
600,85,onsite,ewdbv  xbdb bc,159,2024-01-13
601,290,delivery,chttv  thyo uq,28,2024-05-20
602,677,onsite,agrdk  mthh dw,63,2024-04-07
603,703,onsite,srlhr  osms mm,395,2024-12-01
604,979,onsite,pdaxo  rvvw kz,43,2023-01-14
605,885,onsite,fxyno  tklj ur,139,2023-08-26
606,465,onsite,mcjbg  ajeh tt,101,2023-09-19
607,47,onsite,kzqyk  ffwf fw,9,2023-04-10
608,442,delivery,yqnix  xbhc mb,280,2023-03-29
609,558,delivery,mrwvz  ngsu ip,374,2024-04-20
610,558,onsite,wmgac  ruir wt,118,2024-11-26
611,694,onsite,hhwxk  txbd ur,388,2023-06-16
612,150,onsite,moqzp  jxua dj,143,2024-07-04
613,672,delivery,glfef  txoc uw,112,2024-02-19
614,236,delivery,yexbf  cwgp cc,7,2023-02-23
615,268,onsite,ukqdo  euhb ny,142,2024-02-04
616,785,onsite,llxlv  zqcp xr,450,2023-03-23
617,160,delivery,uzkxe  ligr cj,167,2023-09-15
618,273,delivery,uupxy  dsgv dj,291,2024-01-26
619,240,onsite,lffzu  fbkm bm,442,2024-08-27
620,969,onsite,kpgbk  gblo tn,56,2023-08-09
621,147,delivery,qaast  rvtg zm,207,2024-10-18
622,145,onsite,kydql  jefn kg,386,2023-09-20
623,276,delivery,uwvge  ciio eo,157,2023-02-28
624,517,onsite,lypgi  qiim cq,245,2023-10-07
625,932,delivery,lozew  xhhq zl,55,2024-04-21
626,947,onsite,rrbpp  geat sv,133,2024-09-08
627,174,onsite,qarac  xiir wx,424,2023-03-14
628,946,onsite,polmj  hdwi dl,74,2023-10-04
629,845,delivery,matnd  fusy lh,332,2024-11-30
630,553,delivery,xldbb  pxhi te,326,2023-02-21
631,55,onsite,jqiot  snba cy,164,2023-01-11
632,717,delivery,eqles  halj ng,19,2023-05-09
633,317,delivery,dphus  vajo fl,499,2024-10-21
634,344,onsite,ftzgh  nlme do,369,2024-07-10
635,328,delivery,izohm  nypb zm,89,2023-07-10
636,82,delivery,whvrr  mbzs cm,324,2024-07-06
637,869,delivery,dooid  mjvt bi,347,2023-12-13
638,479,onsite,viasm  tpjz sx,265,2023-10-05
639,406,delivery,sjddc  vfxd mk,312,2024-06-23
640,350,delivery,mbrqn  eazk ra,105,2023-04-06
641,925,delivery,kvzmf  eqlc qr,326,2023-10-23
642,490,delivery,glncd  iazj kc,314,2023-03-21
643,337,onsite,djoph  dzsw qp,393,2024-05-08
644,599,delivery,tafug  pqqi bl,480,2023-08-17
645,74,delivery,bogjd  czvp hp,2,2024-05-17
646,161,delivery,qdhwa  fknq ao,448,2024-09-21
647,799,delivery,gxxgj  vixl ks,194,2023-07-05
648,764,onsite,goabk  fvip sa,342,2024-03-14
649,177,delivery,kxmez  oloc hk,228,2024-11-09
650,990,onsite,xgdhl  slhb xh,295,2023-07-17
651,313,onsite,dmyre  ovie yu,283,2023-12-19
652,346,delivery,qwpua  annp po,113,2023-05-21
653,184,delivery,wmahr  gecx if,321,2022-12-19
654,525,onsite,sjuhp  qxrw ad,368,2024-05-19
655,34,delivery,bjqbg  kbyz hf,232,2024-10-09
656,904,onsite,gietk  zjwo jy,153,2023-06-14
657,842,delivery,omlwm  udke py,83,2023-06-20
658,889,onsite,ytcmn  pnpe qe,238,2023-12-05
659,362,delivery,fbpov  ecup xp,10,2024-09-27
660,129,delivery,ijlqx  tgga cl,107,2023-09-18
661,856,delivery,chuin  bvej bf,489,2024-07-02
662,602,onsite,bemmt  inwr ii,312,2024-05-19
663,203,onsite,bbfzj  wqoy qr,246,2024-04-25
664,701,delivery,gievl  krfo ga,12,2023-07-15
665,311,onsite,zlerm  mhjt mr,68,2023-05-19
666,825,onsite,zfynd  zfaa qo,458,2024-05-21
667,52,onsite,gxzcn  pdwg be,185,2024-05-27
668,793,onsite,kevuk  osya ep,340,2024-03-30
669,807,onsite,tutbv  jjcq xj,424,2023-05-02
670,167,delivery,amysj  tgpd fr,36,2024-07-06
671,847,delivery,lwhev  nduf bj,197,2023-02-04
672,628,delivery,uiron  tjpe jg,140,2023-07-13
673,965,onsite,kfnrn  ewug wr,309,2024-09-26
674,278,delivery,hvcyq  ebcd ug,86,2023-06-04
675,469,delivery,jfhlq  tqda zt,417,2023-04-28
676,947,onsite,rizkh  wslq pl,491,2023-09-24
677,913,delivery,lkqio  efoz et,56,2023-05-01
678,38,onsite,ixgpd  hcxu hx,420,2024-04-20
679,935,onsite,eupxu  jxxt uh,228,2023-04-07
680,125,onsite,jxbfa  yssf uc,24,2023-08-29
681,52,delivery,gkzjs  ltzg om,412,2023-04-09
682,932,delivery,roxwz  wlmd zb,488,2023-06-23
683,587,delivery,pugrv  tadr bq,119,2023-04-27
684,340,delivery,wgzbo  rpfb dz,401,2023-04-04
685,312,onsite,qwfat  ewyx in,319,2023-04-24
686,400,delivery,orcgv  rylu pw,168,2023-11-26
687,542,delivery,ujnkz  kmji pm,487,2022-12-09
688,771,onsite,zdiir  sbar di,316,2024-06-17
689,763,delivery,rqqmw  odgn zn,64,2023-10-27
690,20,delivery,ivolh  enkw if,304,2024-08-05
691,416,onsite,nqvdh  jdnb xu,177,2023-03-12
692,69,delivery,kwftt  haab zb,293,2023-06-01
693,439,onsite,owewx  kuyq pc,46,2023-04-13
694,305,onsite,sexxm  hfgk we,331,2024-06-11
695,101,onsite,eelbz  dgyr uw,26,2024-01-30
696,116,delivery,fyrbf  uwvg zx,480,2022-12-16
697,181,delivery,mzsco  xmgf ht,18,2023-07-17
698,178,delivery,idmzy  mhqk zn,479,2023-07-06
699,773,onsite,fxpyy  fgzs bb,448,2024-07-08
700,30,delivery,kndyy  fmmx rz,443,2024-04-09
